epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,28468.5,1.97306,0.8868,0.90353,0.74793,0.62853,0.72057,0.35736,1.74733,0.82903,0.89611,0.0003367,0.0003367,0.0003367
69,28906.2,1.96983,0.8859,0.90208,0.76277,0.6316,0.72791,0.36917,1.72305,0.81745,0.89476,0.0003268,0.0003268,0.0003268
70,29333.6,1.95212,0.87767,0.9022,0.74704,0.64227,0.72849,0.3678,1.73077,0.82284,0.89626,0.0003169,0.0003169,0.0003169
71,29758,1.94942,0.88005,0.90372,0.74996,0.64489,0.73335,0.37408,1.70067,0.81109,0.89135,0.000307,0.000307,0.000307
72,30187.4,1.94141,0.88206,0.90605,0.74164,0.63461,0.72612,0.36823,1.69861,0.80643,0.89085,0.0002971,0.0002971,0.0002971
73,30617.3,1.91473,0.8667,0.89907,0.74999,0.63931,0.7274,0.37031,1.72134,0.80807,0.89459,0.0002872,0.0002872,0.0002872
74,31044,1.94637,0.88017,0.89906,0.74325,0.65129,0.72721,0.36928,1.71718,0.80766,0.89287,0.0002773,0.0002773,0.0002773
75,31474.8,1.91009,0.86304,0.89728,0.74282,0.64482,0.73038,0.37265,1.70411,0.80398,0.89135,0.0002674,0.0002674,0.0002674
76,31900.3,1.90663,0.86083,0.89516,0.74467,0.66023,0.73744,0.38126,1.68155,0.7975,0.88734,0.0002575,0.0002575,0.0002575
77,32333.5,1.95229,0.87715,0.89917,0.7444,0.64836,0.73401,0.38117,1.66996,0.79912,0.88684,0.0002476,0.0002476,0.0002476
78,40968.8,1.91678,0.86497,0.89585,0.7749,0.64385,0.7386,0.38341,1.68127,0.79229,0.88857,0.0002377,0.0002377,0.0002377
79,42428.1,1.90302,0.85371,0.89475,0.75739,0.66288,0.74664,0.38623,1.66298,0.78557,0.88383,0.0002278,0.0002278,0.0002278
80,42960,1.89422,0.84526,0.8901,0.76969,0.65284,0.74237,0.38207,1.68883,0.78709,0.8863,0.0002179,0.0002179,0.0002179
81,43506.3,1.90048,0.85571,0.89232,0.77566,0.64122,0.74173,0.38621,1.65353,0.78031,0.88274,0.000208,0.000208,0.000208
82,44025,1.88538,0.84914,0.89159,0.75558,0.66648,0.74822,0.39153,1.64343,0.77487,0.88198,0.0001981,0.0001981,0.0001981
83,44576.4,1.87133,0.84084,0.8935,0.77386,0.65237,0.74602,0.3909,1.64601,0.77613,0.8834,0.0001882,0.0001882,0.0001882
84,45105.3,1.87594,0.83847,0.89042,0.77944,0.66237,0.7556,0.39487,1.63203,0.76352,0.88079,0.0001783,0.0001783,0.0001783
85,45657.1,1.86452,0.83847,0.89532,0.78253,0.66471,0.75743,0.39843,1.63589,0.76474,0.88055,0.0001684,0.0001684,0.0001684
86,46210.9,1.84392,0.8245,0.89029,0.77542,0.65878,0.75411,0.39724,1.63753,0.76454,0.88221,0.0001585,0.0001585,0.0001585
87,46718.4,1.82811,0.82228,0.89069,0.7737,0.65946,0.75411,0.39258,1.64071,0.76888,0.88183,0.0001486,0.0001486,0.0001486
88,47237.3,1.84594,0.82117,0.88871,0.75417,0.67867,0.75315,0.3939,1.6418,0.77138,0.88112,0.0001387,0.0001387,0.0001387
89,47759.3,1.86935,0.83187,0.88828,0.76185,0.67282,0.75601,0.39731,1.62887,0.76214,0.88047,0.0001288,0.0001288,0.0001288
90,48267.8,1.82722,0.82538,0.89021,0.77776,0.66026,0.75388,0.399,1.61195,0.75634,0.87808,0.0001189,0.0001189,0.0001189
91,48754.5,1.76338,0.81626,0.90328,0.78865,0.66184,0.75646,0.40234,1.60882,0.75565,0.8784,0.000109,0.000109,0.000109
92,49281.4,1.74844,0.80603,0.89807,0.76843,0.67355,0.76238,0.40511,1.6017,0.75149,0.877,9.91e-05,9.91e-05,9.91e-05
93,49757.1,1.74825,0.80144,0.89736,0.77805,0.67773,0.76505,0.40388,1.60294,0.7463,0.87668,8.92e-05,8.92e-05,8.92e-05
94,50238.5,1.74269,0.79942,0.89518,0.77689,0.67303,0.76428,0.40679,1.59002,0.74324,0.87375,7.93e-05,7.93e-05,7.93e-05
95,50773.7,1.72754,0.78935,0.8933,0.77925,0.67428,0.7675,0.40898,1.58181,0.73766,0.87271,6.94e-05,6.94e-05,6.94e-05
96,51311.3,1.72106,0.78884,0.89198,0.76506,0.68883,0.76775,0.41141,1.57305,0.73522,0.87184,5.95e-05,5.95e-05,5.95e-05
97,51784,1.72079,0.78565,0.89161,0.76827,0.68729,0.76806,0.41305,1.57559,0.73507,0.8726,4.96e-05,4.96e-05,4.96e-05
98,52266.1,1.71951,0.78327,0.89089,0.78071,0.67811,0.76722,0.41715,1.55957,0.72918,0.87174,3.97e-05,3.97e-05,3.97e-05
99,52743.6,1.70929,0.78406,0.8933,0.77431,0.68167,0.77049,0.41312,1.56682,0.72967,0.87144,2.98e-05,2.98e-05,2.98e-05
100,53179.1,1.68864,0.77438,0.88959,0.77842,0.67993,0.76989,0.41401,1.56525,0.72963,0.8716,1.99e-05,1.99e-05,1.99e-05
